ESTADO_CIVIL,COLEGIO_DEPA,GRADO_INSTRUCCION_MADRE,GRADO_INSTRUCCION_PADRE,NECESIDADES_EDUCATIVAS_ESPECIALES,NOTA_PROMEDIO,DOMICILIO_DEPA,ANIO_NACIMIENTO,NACIMIENTO_DEPA,SEXO,MODALIDAD,FACULTAD,ESPECIALIDAD,CICLO_RELATIVO,CATEGORIA_OBJETIVO_TARGET
1,15,6,1,0,15.35,1,1993,15,0,12,8,12,10,GRADUADO
1,15,5,5,0,15.35,4,1991,15,0,9,5,17,10,GRADUADO
1,15,4,3,0,15.35,15,1993,15,1,12,3,4,10,GRADUADO
1,15,9,3,0,15.36,1,1991,15,1,12,9,25,10,GRADUADO
1,15,5,5,0,15.36,1,1994,15,1,12,1,24,10,GRADUADO
1,15,1,8,0,15.36,15,1993,15,0,12,5,18,10,GRADUADO
1,12,9,4,0,15.37,15,1992,12,1,12,5,18,10,GRADUADO
1,15,8,1,0,15.37,15,1990,15,0,12,5,17,10,GRADUADO
1,15,10,6,0,15.37,1,1993,15,0,8,3,4,10,GRADUADO
1,15,1,3,0,15.37,15,1993,15,1,12,2,2,10,GRADUADO
1,15,8,3,0,15.38,1,1993,15,1,12,5,18,10,GRADUADO
1,15,3,5,0,15.38,1,1990,15,0,12,1,26,10,GRADUADO
1,15,3,3,0,15.38,15,1990,13,1,12,7,11,10,GRADUADO
1,15,9,4,0,15.38,15,1991,16,1,10,3,4,10,GRADUADO
1,15,8,5,0,15.38,15,1989,15,1,12,3,7,10,GRADUADO
1,15,6,10,0,15.39,15,1992,15,1,1,5,8,10,GRADUADO
1,15,8,3,0,15.39,15,1985,15,0,12,3,4,10,GRADUADO
1,15,1,1,0,15.39,1,1991,15,0,12,2,2,10,GRADUADO
1,15,4,10,0,15.39,1,1991,15,1,12,10,19,10,GRADUADO
1,15,5,4,0,15.39,12,1980,9,0,16,4,6,10,GRADUADO
1,15,4,3,0,15.4,15,1993,15,1,12,3,4,10,GRADUADO
1,15,6,4,0,15.4,15,1979,15,0,12,10,19,10,GRADUADO
1,15,9,6,0,15.4,15,1991,15,1,12,3,7,10,GRADUADO
1,15,3,3,0,15.4,1,1991,15,1,10,1,1,10,GRADUADO
1,15,11,3,0,15.4,15,1967,15,1,12,10,19,10,GRADUADO
2,7,10,3,0,15.4,8,1982,15,1,16,3,7,10,GRADUADO
1,15,6,1,0,15.41,15,1992,12,0,12,4,6,10,GRADUADO
1,15,4,4,0,15.41,1,1990,15,1,12,2,2,10,GRADUADO
1,15,8,4,0,15.41,1,1992,1,1,12,8,12,10,GRADUADO
1,1,4,3,0,15.41,1,1991,1,0,11,9,25,10,GRADUADO
1,13,4,1,0,15.41,1,1994,13,0,8,9,27,10,GRADUADO
1,15,3,10,0,15.41,15,1991,15,0,12,6,10,10,GRADUADO
1,7,3,4,0,15.41,7,1982,7,1,12,9,25,10,GRADUADO
1,15,4,6,0,15.41,15,1986,15,0,12,7,11,10,GRADUADO
1,15,5,3,0,15.43,15,1990,10,0,12,2,2,10,GRADUADO
1,15,5,3,0,15.43,15,1993,15,0,12,9,21,10,GRADUADO
1,15,3,3,0,15.43,10,1992,20,1,12,2,2,10,GRADUADO
1,15,6,8,0,15.43,15,1987,12,0,12,4,6,10,GRADUADO
1,15,3,1,0,15.43,1,1992,15,0,12,1,24,10,GRADUADO
1,11,4,3,0,15.43,1,1994,11,1,1,6,20,10,GRADUADO
1,4,6,4,0,15.44,1,1991,15,0,12,3,7,10,GRADUADO
4,15,3,4,0,15.44,15,1994,15,0,1,3,4,10,GRADUADO
1,15,7,1,0,15.45,15,1988,15,0,10,3,4,10,GRADUADO
1,15,5,3,0,15.45,11,1994,15,1,9,3,4,10,GRADUADO
1,15,1,4,0,15.46,12,1991,15,1,9,2,2,10,GRADUADO
1,14,5,9,0,15.46,15,1993,14,1,8,8,12,10,GRADUADO
1,15,10,5,0,15.49,15,1988,15,0,12,5,18,10,GRADUADO
1,15,1,1,1,15.49,15,1976,15,0,12,10,19,10,GRADUADO
2,15,4,9,0,15.5,15,1993,15,0,12,3,4,10,GRADUADO
1,15,3,6,0,15.5,2,1991,15,0,11,3,4,10,GRADUADO
1,15,1,10,0,15.5,1,1989,15,1,12,6,20,10,GRADUADO
1,15,10,3,0,15.5,1,1993,15,0,8,9,25,10,GRADUADO
1,7,5,3,0,15.5,7,1993,15,1,12,9,27,10,GRADUADO
1,7,10,1,0,15.5,1,1969,15,0,1,2,3,10,GRADUADO
1,15,3,4,0,15.5,15,1994,15,1,1,4,14,10,GRADUADO
1,15,10,1,0,15.51,1,1992,15,0,11,5,17,10,GRADUADO
1,15,6,1,0,15.51,15,1991,15,1,11,8,13,10,GRADUADO
1,15,8,6,0,15.52,15,1991,15,1,12,8,12,10,GRADUADO
2,15,1,1,0,15.52,1,1991,15,0,11,7,11,10,GRADUADO
1,15,4,3,0,15.52,15,1984,15,0,12,10,19,10,GRADUADO
1,15,10,3,0,15.52,15,1988,15,0,12,1,1,10,GRADUADO
1,15,5,1,0,15.52,1,1983,15,1,12,7,11,10,GRADUADO
1,15,1,5,0,15.52,15,1992,15,1,12,6,20,10,GRADUADO
1,15,7,5,0,15.52,15,1989,15,0,12,1,26,10,GRADUADO
1,15,2,3,0,15.52,15,1988,15,0,12,10,19,10,GRADUADO
1,15,3,1,0,15.53,15,1985,15,0,12,10,19,10,GRADUADO
2,15,10,1,0,15.53,15,1987,15,0,12,10,19,10,GRADUADO
1,15,4,3,0,15.53,15,1991,15,0,12,10,19,10,GRADUADO
1,15,6,3,0,15.53,15,1989,15,1,10,4,16,10,GRADUADO
2,2,6,3,0,15.54,1,1989,2,1,12,1,26,10,GRADUADO
4,15,8,4,0,15.54,15,1982,15,1,12,10,19,10,GRADUADO
1,15,4,5,0,15.55,1,1992,10,0,12,10,19,10,GRADUADO
1,15,7,4,0,15.55,15,1991,15,0,12,5,18,10,GRADUADO
1,15,4,4,0,15.55,1,1988,15,0,10,4,5,10,GRADUADO
1,15,4,4,0,15.55,1,1967,15,0,12,4,6,10,GRADUADO
1,15,8,5,0,15.55,15,1984,15,0,12,4,6,10,GRADUADO
1,15,1,5,0,15.55,14,1987,15,0,12,3,7,10,GRADUADO
1,15,4,4,0,15.56,1,1991,15,1,1,8,12,10,GRADUADO
1,15,3,3,0,15.56,1,1992,15,1,12,10,19,10,GRADUADO
1,7,4,7,0,15.56,15,1992,7,1,12,8,13,10,GRADUADO
1,15,10,2,0,15.56,1,1991,15,1,12,8,12,10,GRADUADO
1,15,8,5,0,15.56,1,1991,15,1,10,6,10,10,GRADUADO
1,15,5,3,0,15.56,15,1990,15,1,10,4,14,10,GRADUADO
6,9,1,5,0,15.56,15,1994,10,0,1,3,7,10,GRADUADO
1,15,6,11,0,15.56,15,1991,2,0,12,5,8,10,GRADUADO
1,15,3,4,0,15.57,7,1995,15,1,12,6,20,10,GRADUADO
1,15,4,4,0,15.57,1,1993,15,0,12,3,4,10,GRADUADO
1,15,11,5,0,15.58,15,1991,15,0,11,5,18,10,GRADUADO
1,15,4,5,0,15.58,1,1990,15,0,12,8,12,10,GRADUADO
1,15,1,7,0,15.58,15,1994,2,0,12,3,7,10,GRADUADO
1,12,3,3,0,15.58,15,1993,12,1,10,4,5,10,GRADUADO
1,2,1,6,0,15.58,15,1976,2,1,12,4,5,10,GRADUADO
1,15,3,1,0,15.58,1,1971,15,1,12,9,23,10,GRADUADO
1,15,5,6,0,15.58,15,1994,12,0,1,3,7,10,GRADUADO
1,12,3,10,0,15.58,15,1994,12,0,1,5,18,10,GRADUADO
2,19,6,13,0,15.58,15,1993,19,0,12,4,6,10,GRADUADO
2,15,4,1,0,15.58,1,1994,12,1,8,1,1,10,GRADUADO
1,14,3,4,0,15.59,15,1990,14,1,9,5,17,10,GRADUADO
1,7,2,11,0,15.59,1,1992,2,1,12,8,12,10,GRADUADO
1,15,4,2,0,15.59,15,1993,15,1,12,5,17,10,GRADUADO
1,15,6,6,0,15.59,15,1992,15,1,9,10,19,10,GRADUADO
1,20,1,4,0,15.59,15,1992,15,1,16,10,19,10,GRADUADO
1,15,1,10,0,15.59,15,1994,15,0,9,4,16,10,GRADUADO
1,15,4,3,0,15.59,15,1992,3,1,12,3,7,10,GRADUADO
1,15,3,3,0,15.6,1,1993,15,0,12,5,18,10,GRADUADO
1,15,10,8,0,15.6,1,1993,20,0,12,5,8,10,GRADUADO
1,15,9,3,0,15.6,15,1993,12,0,12,5,18,10,GRADUADO
1,15,4,3,0,15.6,1,1988,15,0,1,9,21,10,GRADUADO
1,15,1,4,0,15.6,15,1993,15,1,10,4,5,10,GRADUADO
1,15,4,3,0,15.6,1,1991,15,0,11,8,12,10,GRADUADO
1,15,3,5,0,15.62,1,1993,15,1,11,8,12,10,GRADUADO
1,15,4,4,0,15.62,1,1993,15,1,12,2,2,10,GRADUADO
1,15,6,2,0,15.62,15,1994,15,0,1,3,4,10,GRADUADO
1,15,4,10,0,15.62,15,1992,15,0,8,3,4,10,GRADUADO
1,10,6,4,0,15.63,15,1995,9,1,1,3,4,10,GRADUADO
1,15,1,3,0,15.63,15,1990,15,0,12,8,13,10,GRADUADO
1,15,8,1,0,15.63,15,1989,15,0,12,5,18,10,GRADUADO
5,15,1,7,0,15.63,1,1992,15,0,12,1,1,10,GRADUADO
1,15,3,8,0,15.63,15,1990,15,0,12,7,11,10,GRADUADO
1,15,12,4,0,15.63,1,1992,15,0,11,6,20,10,GRADUADO
1,15,6,3,0,15.64,15,1992,15,0,12,10,19,10,GRADUADO
1,15,3,10,0,15.64,9,1994,15,1,12,8,12,10,GRADUADO
1,15,4,5,0,15.64,1,1992,15,1,9,9,25,10,GRADUADO
1,1,4,1,0,15.64,15,1991,1,1,12,7,11,10,GRADUADO
1,15,1,6,0,15.64,15,1994,15,1,9,3,7,10,GRADUADO
1,15,4,10,0,15.64,1,1993,15,0,12,4,6,10,GRADUADO
1,15,4,3,0,15.64,15,1992,7,0,12,9,15,10,GRADUADO
1,15,8,4,0,15.64,7,1990,7,0,12,3,4,10,GRADUADO
1,15,1,5,0,15.64,15,1993,15,1,10,1,24,10,GRADUADO
2,15,1,1,0,15.64,15,1993,15,0,12,3,4,10,GRADUADO
1,15,8,6,0,15.64,15,1987,15,0,12,9,27,10,GRADUADO
1,12,3,8,0,15.64,15,1983,15,0,10,3,7,10,GRADUADO
1,13,3,1,0,15.64,1,1981,13,1,12,3,7,10,GRADUADO
1,13,4,1,0,15.64,1,1979,15,0,10,3,7,10,GRADUADO
1,15,1,6,0,15.65,15,1986,15,1,12,3,4,10,GRADUADO
1,15,3,6,1,15.65,15,1987,15,0,1,10,19,10,GRADUADO
1,15,3,4,0,15.66,15,1983,15,0,12,2,2,10,GRADUADO
1,7,3,4,0,15.66,15,1987,15,1,12,2,2,10,GRADUADO
1,15,4,5,0,15.66,15,1984,15,1,12,3,7,10,GRADUADO
1,14,3,3,0,15.66,15,1987,14,0,12,3,4,10,GRADUADO
1,2,3,3,0,15.67,15,1983,2,0,12,3,4,10,GRADUADO
2,15,4,10,0,15.67,15,1985,15,0,12,10,19,10,GRADUADO
1,9,4,6,0,15.67,15,1981,10,1,10,3,4,10,GRADUADO
1,15,8,5,0,15.67,15,1988,15,1,1,3,7,10,GRADUADO
1,12,1,1,0,15.69,1,1977,12,1,10,3,7,10,GRADUADO
1,15,3,5,0,15.69,15,1985,12,0,12,3,7,10,GRADUADO
2,7,4,5,0,15.7,1,1987,15,0,12,10,19,10,GRADUADO
2,15,1,4,0,15.7,1,1979,15,1,12,3,4,10,GRADUADO
1,15,7,11,0,15.7,15,1986,15,1,10,10,19,10,GRADUADO
1,15,10,1,0,15.7,15,1980,15,0,10,2,2,10,GRADUADO
1,15,6,4,0,15.72,15,1985,15,1,1,9,23,10,GRADUADO
1,15,4,5,0,15.72,1,1982,15,0,12,1,1,10,GRADUADO
1,19,3,5,0,15.72,15,1983,19,0,12,9,27,10,GRADUADO
1,15,1,4,0,15.72,15,1979,15,1,12,3,7,10,GRADUADO
1,15,10,3,0,15.73,15,1985,15,0,12,3,4,10,GRADUADO
1,15,4,3,0,15.73,15,1989,15,0,10,3,4,10,GRADUADO
1,12,1,8,0,15.73,15,1983,10,1,12,3,4,10,GRADUADO
1,15,4,13,0,15.73,15,1986,15,0,12,3,4,10,GRADUADO
1,15,6,5,0,15.73,15,1988,15,1,11,6,20,10,GRADUADO
1,15,5,4,0,15.73,12,1975,15,0,12,2,2,10,GRADUADO
1,15,4,9,0,15.74,15,1991,10,0,12,2,2,10,GRADUADO
1,15,7,1,0,15.74,1,1993,15,0,9,2,2,10,GRADUADO
1,15,1,7,0,15.74,1,1994,12,1,8,2,2,10,GRADUADO
1,15,3,4,0,15.74,15,1989,15,1,14,4,6,10,GRADUADO
1,4,3,8,0,15.74,1,1994,4,1,12,5,17,10,GRADUADO
1,15,1,3,0,15.74,1,1991,15,1,12,1,24,10,GRADUADO
1,15,3,7,0,15.76,15,1987,15,1,10,4,14,10,GRADUADO
1,7,3,4,0,15.76,1,1969,7,0,12,10,19,10,GRADUADO
1,2,7,4,0,15.76,1,1968,15,1,12,10,19,10,GRADUADO
1,15,5,1,0,15.76,1,1982,5,1,14,1,1,10,GRADUADO
2,15,8,3,0,15.76,25,1965,15,0,12,3,7,10,GRADUADO
1,8,3,8,0,15.76,15,1996,8,0,8,5,17,10,GRADUADO
1,11,5,6,0,15.76,1,1995,15,1,1,9,25,10,GRADUADO
1,15,10,4,0,15.76,1,1989,7,1,12,10,19,10,GRADUADO
1,15,3,4,0,15.76,1,1992,15,1,12,7,11,10,GRADUADO
1,15,1,3,0,15.76,1,1993,15,0,8,3,7,10,GRADUADO
1,15,3,5,0,15.77,15,1995,15,0,8,4,16,10,GRADUADO
1,15,3,10,0,15.77,15,1994,15,0,8,4,6,10,GRADUADO
1,15,2,4,0,15.77,1,1992,15,1,12,6,9,10,GRADUADO
1,15,6,5,0,15.77,1,1991,15,0,12,10,19,10,GRADUADO
1,1,2,5,0,15.79,1,1992,15,1,8,1,24,10,GRADUADO
1,15,6,5,0,15.79,1,1992,23,1,12,8,13,10,GRADUADO
1,3,4,3,0,15.8,1,1992,3,0,9,3,7,10,GRADUADO
1,15,3,10,0,15.8,15,1991,15,0,12,4,14,10,GRADUADO
1,15,4,9,0,15.81,15,1992,15,1,9,4,16,10,GRADUADO
